_id,BALCONY_GUARDS,CONFIRMED_STOREYS,CONFIRMED_UNITS,ELEVATORS,ENTRANCE_DOORS_WINDOWS,ENTRANCE_LOBBY,EVALUATION_COMPLETED_ON,EXTERIOR_CLADDING,EXTERIOR_GROUNDS,EXTERIOR_WALKWAYS,GARBAGE_BIN_STORAGE_AREA,GARBAGE_CHUTE_ROOMS,GRAFFITI,INTERIOR_LIGHTING_LEVELS,INTERIOR_WALL_CEILING_FLOOR,INTERNAL_GUARDS_HANDRAILS,NO_OF_AREAS_EVALUATED,OTHER_FACILITIES,PARKING_AREA,PROPERTY_TYPE,RESULTS_OF_SCORE,RSN,SCORE,SECURITY,SITE_ADDRESS,STAIRWELLS,STORAGE_AREAS_LOCKERS,WARD,WATER_PEN_EXT_BLDG_ELEMENTS,YEAR_BUILT,YEAR_REGISTERED
11,3.0,4,27,,4.0,4.0,03/07/2019,3.0,3.0,4.0,4.0,5.0,5.0,3.0,4.0,5.0,18,,2.0,PRIVATE,Evaluation needs to be conducted in 2 years,4296586,73.0,4.0,699  EGLINTON AVE W,3.0,4.0,12,3.0,1950.0,2018.0
12,,43,496,4.0,3.0,4.0,11/10/2017,4.0,4.0,3.0,4.0,4.0,5.0,4.0,3.0,4.0,18,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4237447,76.0,4.0,95  THORNCLIFFE PARK DR ,4.0,4.0,15,4.0,1971.0,2017.0
13,,3,20,,2.0,3.0,01/17/2019,3.0,2.0,3.0,3.0,,4.0,3.0,3.0,3.0,15,,2.0,PRIVATE,Evaluation needs to be conducted in 1 year,4243767,57.0,3.0,28  MAYNARD AVE ,3.0,,04,3.0,1900.0,2017.0
14,,14,157,3.0,4.0,4.0,10/19/2017,4.0,4.0,4.0,2.0,3.0,5.0,4.0,4.0,2.0,16,,2.0,PRIVATE,Evaluation needs to be conducted in 2 years,4242011,70.0,4.0,131  BLOOR ST W,3.0,,11,4.0,1963.0,2017.0
15,3.0,14,215,4.0,3.0,3.0,12/21/2018,4.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,18,,3.0,TCHC,Evaluation needs to be conducted in 2 years,4285956,67.0,4.0,121  HUMBER BLVD ,3.0,,05,4.0,1968.0,2017.0
16,,4,14,4.0,3.0,4.0,01/02/2019,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,16,,,TCHC,Evaluation needs to be conducted in 2 years,4286257,66.0,4.0,69  HOLLY ST ,3.0,,12,3.0,1969.0,2018.0
17,3.0,6,22,3.0,4.0,3.0,01/22/2019,4.0,3.0,4.0,4.0,3.0,4.0,3.0,2.0,4.0,17,,,TCHC,Evaluation needs to be conducted in 2 years,4286276,66.0,4.0,51  GILDER DR ,2.0,,21,4.0,1980.0,2017.0
18,,3,24,,3.0,3.0,01/04/2019,3.0,2.0,4.0,3.0,,3.0,2.0,3.0,3.0,14,,,PRIVATE,Evaluation needs to be conducted in 1 year,4261240,57.0,4.0,814  BROADVIEW AVE ,3.0,,14,3.0,1950.0,2017.0
19,,6,115,3.0,2.0,4.0,12/06/2017,3.0,4.0,4.0,4.0,3.0,5.0,4.0,3.0,3.0,18,4.0,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4288923,69.0,4.0,2431  FINCH AVE W,3.0,,07,3.0,1959.0,2017.0
20,,4,42,,2.0,1.0,03/06/2019,3.0,,2.0,2.0,,2.0,1.0,2.0,2.0,15,,2.0,PRIVATE,Building Audit,4250554,37.0,2.0,409  HURON ST ,1.0,1.0,11,3.0,1898.0,2018.0
21,,3,26,,3.0,3.0,01/15/2019,3.0,3.0,4.0,4.0,,4.0,3.0,3.0,3.0,15,4.0,,SOCIAL HOUSING,Evaluation needs to be conducted in 2 years,4250590,67.0,4.0,1117  DANFORTH AVE ,3.0,,14,3.0,2002.0,2017.0
22,,4,32,,4.0,4.0,03/13/2019,4.0,4.0,4.0,2.0,,5.0,4.0,3.0,4.0,14,,,PRIVATE,Evaluation needs to be conducted in 2 years,4250602,73.0,4.0,26  TICHESTER RD ,4.0,,12,3.0,1938.0,2017.0
23,4.0,20,357,4.0,4.0,4.0,10/16/2017,4.0,4.0,3.0,3.0,4.0,5.0,3.0,4.0,3.0,18,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4250615,74.0,4.0,66  BROADWAY AVE ,3.0,,15,4.0,1965.0,2017.0
24,4.0,13,152,4.0,3.0,4.0,12/05/2017,3.0,3.0,4.0,3.0,,5.0,4.0,3.0,4.0,17,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4250636,74.0,4.0,111  LAWTON BLVD ,4.0,,12,3.0,1957.0,2019.0
25,,7,102,3.0,3.0,3.0,11/20/2017,3.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0,17,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4235524,68.0,3.0,1920  YONGE ST ,3.0,,12,3.0,1996.0,2017.0
26,,25,336,3.0,4.0,4.0,01/03/2018,4.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,17,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4270170,69.0,4.0,88  BLOOR ST E,3.0,,11,4.0,1972.0,2017.0
27,3.0,3,12,,3.0,3.0,11/27/2017,3.0,3.0,4.0,4.0,,5.0,2.0,4.0,2.0,17,4.0,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4232579,67.0,4.0,53  GENERATION BLVD ,3.0,,25,3.0,1975.0,2017.0
28,3.0,3,304,5.0,4.0,4.0,11/16/2017,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,19,4.0,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4228864,78.0,4.0,2911  BAYVIEW AVE ,4.0,,17,4.0,1964.0,2017.0
29,,3,10,,3.0,3.0,01/25/2019,3.0,3.0,3.0,3.0,,5.0,3.0,2.0,3.0,14,,3.0,PRIVATE,Evaluation needs to be conducted in 1 year,4255528,59.0,2.0,3  BIRCHLEA AVE ,2.0,,03,3.0,1950.0,2017.0
30,,6,75,4.0,4.0,4.0,11/16/2017,4.0,4.0,3.0,4.0,3.0,5.0,3.0,4.0,4.0,17,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4255546,74.0,4.0,1407  DUPONT ST ,3.0,,09,4.0,2008.0,2017.0
31,,8,55,4.0,4.0,4.0,11/03/2017,4.0,4.0,4.0,3.0,3.0,5.0,3.0,4.0,4.0,17,5.0,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4255628,75.0,4.0,50  SPADINA RD ,4.0,,11,2.0,2007.0,2017.0
32,,4,13,,4.0,4.0,01/18/2019,4.0,4.0,4.0,4.0,,5.0,4.0,3.0,3.0,16,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4281915,78.0,5.0,6  BEXHILL CRT ,3.0,4.0,02,3.0,1952.0,2017.0
33,4.0,30,336,4.0,5.0,4.0,10/24/2017,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,19,5.0,4.0,PRIVATE,Evaluation needs to be conducted in 3 years,4244947,85.0,5.0,320  TWEEDSMUIR AVE ,4.0,4.0,12,4.0,2014.0,2017.0
34,,3,17,,2.0,2.0,03/06/2019,2.0,3.0,3.0,2.0,,4.0,3.0,2.0,3.0,14,,,PRIVATE,Building Audit,4326877,49.0,2.0,828  SHAW ST ,2.0,,11,2.0,1927.0,2018.0
35,3.0,17,234,3.0,4.0,4.0,12/14/2018,3.0,3.0,3.0,3.0,2.0,3.0,4.0,2.0,3.0,18,,3.0,PRIVATE,Evaluation needs to be conducted in 1 year,4243431,63.0,4.0,2801  JANE ST ,3.0,,07,3.0,1968.0,2017.0
36,5.0,37,337,3.0,5.0,4.0,01/18/2018,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,20,5.0,5.0,PRIVATE,Evaluation needs to be conducted in 3 years,4233261,95.0,5.0,252  VICTORIA ST ,5.0,5.0,13,5.0,2017.0,2017.0
37,,3,15,,3.0,3.0,12/20/2017,3.0,4.0,4.0,3.0,,5.0,3.0,3.0,3.0,15,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4288743,68.0,4.0,78  PEMBROKE ST ,3.0,,13,4.0,1930.0,2017.0
38,,3,18,,3.0,4.0,03/05/2019,3.0,4.0,3.0,3.0,,5.0,3.0,3.0,3.0,14,,,PRIVATE,Evaluation needs to be conducted in 2 years,4288801,67.0,3.0,84  WILLOW AVE ,3.0,4.0,19,3.0,1920.0,2017.0
39,,12,126,5.0,4.0,5.0,03/08/2018,4.0,4.0,2.0,4.0,5.0,5.0,3.0,4.0,4.0,16,,2.0,SOCIAL HOUSING,Evaluation needs to be conducted in 3 years,4333863,81.0,5.0,2877 A  ELLESMERE RD ,5.0,,24,4.0,1976.0,2018.0
40,,11,104,3.0,4.0,4.0,12/13/2018,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,18,,4.0,SOCIAL HOUSING,Evaluation needs to be conducted in 2 years,4168988,80.0,5.0,20  HUMBERLINE DR ,3.0,5.0,01,4.0,1986.0,2017.0
41,5.0,20,210,5.0,5.0,5.0,12/08/2017,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,18,,5.0,PRIVATE,Evaluation needs to be conducted in 3 years,4166721,92.0,4.0,8  CHICHESTER PL ,5.0,,22,4.0,2012.0,2017.0
42,4.0,7,220,3.0,3.0,3.0,01/17/2018,4.0,3.0,4.0,3.0,2.0,4.0,3.0,3.0,3.0,19,3.0,4.0,TCHC,Evaluation needs to be conducted in 2 years,4167459,66.0,4.0,176  THE ESPLANADE  ,3.0,,13,4.0,2006.0,2017.0
43,3.0,3,48,,3.0,3.0,01/15/2019,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,17,,3.0,TCHC,Evaluation needs to be conducted in 1 year,4167687,61.0,3.0,260  SUMACH ST ,3.0,,13,4.0,1948.0,2017.0
44,4.0,5,87,4.0,4.0,4.0,02/26/2019,3.0,4.0,4.0,4.0,,5.0,4.0,4.0,4.0,18,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4152689,78.0,4.0,740  MIDLAND AVE ,4.0,3.0,20,4.0,1959.0,2017.0
45,4.0,7,71,3.0,3.0,3.0,12/04/2017,4.0,3.0,3.0,2.0,,5.0,4.0,3.0,4.0,18,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4152694,68.0,3.0,19  ROSEMOUNT DR ,3.0,4.0,21,4.0,1960.0,2017.0
46,4.0,6,62,3.0,3.0,3.0,01/18/2019,2.0,3.0,3.0,3.0,,5.0,4.0,3.0,2.0,17,,3.0,PRIVATE,Evaluation needs to be conducted in 1 year,4152695,64.0,4.0,10  IONVIEW RD ,3.0,,21,3.0,1971.0,2017.0
47,5.0,7,130,3.0,4.0,5.0,12/15/2017,3.0,4.0,4.0,4.0,3.0,5.0,2.0,3.0,3.0,18,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4152696,72.0,4.0,2360  EGLINTON AVE E,3.0,,21,2.0,1965.0,2017.0
48,3.0,4,41,3.0,3.0,3.0,01/09/2019,3.0,4.0,4.0,3.0,,5.0,3.0,3.0,4.0,17,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4152701,69.0,4.0,1191  BIRCHMOUNT RD ,3.0,,21,4.0,1955.0,2017.0
49,5.0,7,77,3.0,4.0,3.0,11/15/2017,4.0,3.0,3.0,3.0,,5.0,4.0,3.0,2.0,17,,2.0,PRIVATE,Evaluation needs to be conducted in 2 years,4152714,68.0,4.0,893  KENNEDY RD ,3.0,,21,4.0,1961.0,2017.0
50,4.0,7,64,3.0,4.0,4.0,01/07/2019,3.0,4.0,4.0,3.0,4.0,4.0,5.0,2.0,5.0,18,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4152717,74.0,4.0,2230  LAWRENCE AVE E,4.0,,21,4.0,1962.0,2017.0
51,4.0,10,140,3.0,4.0,4.0,01/24/2019,4.0,4.0,3.0,3.0,3.0,5.0,4.0,4.0,3.0,20,3.0,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4152724,72.0,4.0,5  GLAMORGAN AVE ,3.0,4.0,21,3.0,1974.0,2017.0
52,3.0,14,192,5.0,4.0,5.0,11/21/2017,4.0,3.0,3.0,4.0,4.0,5.0,3.0,4.0,5.0,19,5.0,3.0,PRIVATE,Evaluation needs to be conducted in 3 years,4152725,81.0,4.0,41  ANTRIM CRES ,4.0,,21,5.0,1974.0,2017.0
53,,9,200,4.0,3.0,4.0,12/18/2018,4.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,18,3.0,4.0,SOCIAL HOUSING,Evaluation needs to be conducted in 2 years,4153138,69.0,5.0,24  SHAW ST ,2.0,,10,3.0,1989.0,2017.0
54,4.0,4,11,,4.0,4.0,03/06/2019,4.0,5.0,3.0,4.0,,1.0,3.0,4.0,3.0,15,,,PRIVATE,Evaluation needs to be conducted in 2 years,4153145,76.0,5.0,8  BEACONSFIELD AVE ,4.0,,09,5.0,1932.0,2017.0
55,,3,25,,3.0,3.0,03/06/2019,3.0,4.0,3.0,3.0,,3.0,4.0,3.0,3.0,14,,,PRIVATE,Evaluation needs to be conducted in 1 year,4153146,64.0,4.0,1176  QUEEN ST W,3.0,,09,3.0,1915.0,2017.0
56,,4,48,,4.0,4.0,02/12/2019,4.0,4.0,4.0,4.0,,5.0,3.0,4.0,4.0,14,,,PRIVATE,Evaluation needs to be conducted in 2 years,4153588,80.0,4.0,391  SHERBOURNE ST ,4.0,,13,4.0,1920.0,2017.0
57,,4,48,,4.0,4.0,02/12/2019,4.0,4.0,4.0,4.0,,5.0,4.0,4.0,4.0,14,,,PRIVATE,Evaluation needs to be conducted in 2 years,4153589,80.0,4.0,433  SHERBOURNE ST ,3.0,,13,4.0,1934.0,2017.0
58,,4,48,,4.0,4.0,02/12/2019,4.0,4.0,4.0,4.0,,5.0,4.0,4.0,4.0,14,,,PRIVATE,Evaluation needs to be conducted in 2 years,4153590,80.0,4.0,435  SHERBOURNE ST ,3.0,,13,4.0,1934.0,2017.0
59,,3,238,5.0,3.0,5.0,12/31/2018,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,18,5.0,4.0,TCHC,Evaluation needs to be conducted in 3 years,4154465,86.0,5.0,3680  KEELE ST ,3.0,,07,4.0,1970.0,2017.0
60,,3,38,,4.0,4.0,10/19/2017,4.0,4.0,4.0,4.0,,5.0,4.0,4.0,3.0,15,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4153597,79.0,4.0,214  WELLESLEY ST E,3.0,,13,5.0,1923.0,2017.0
61,,4,32,,3.0,3.0,11/20/2017,5.0,4.0,4.0,3.0,,5.0,2.0,3.0,3.0,15,,5.0,PRIVATE,Evaluation needs to be conducted in 2 years,4153616,67.0,2.0,849  BROADVIEW AVE ,3.0,,14,3.0,1940.0,2017.0
62,3.0,22,129,4.0,4.0,4.0,11/10/2017,4.0,4.0,5.0,3.0,3.0,2.0,1.0,3.0,3.0,18,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154111,66.0,4.0,25  COSBURN AVE ,1.0,,14,4.0,1962.0,2017.0
63,5.0,12,155,4.0,4.0,4.0,12/14/2018,3.0,4.0,4.0,3.0,3.0,4.0,5.0,5.0,5.0,19,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154112,79.0,5.0,55  COSBURN AVE ,4.0,3.0,14,3.0,1973.0,2017.0
64,5.0,10,73,4.0,4.0,5.0,10/26/2017,4.0,4.0,4.0,4.0,3.0,5.0,4.0,3.0,2.0,19,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154115,77.0,4.0,101  COSBURN AVE ,3.0,4.0,14,4.0,1960.0,2017.0
65,4.0,4,28,,4.0,5.0,12/14/2018,3.0,3.0,4.0,3.0,,5.0,5.0,5.0,5.0,17,,3.0,PRIVATE,Evaluation needs to be conducted in 3 years,4154121,82.0,4.0,33  GAMBLE AVE ,5.0,4.0,14,3.0,1970.0,2017.0
66,4.0,12,173,3.0,3.0,5.0,11/14/2017,2.0,4.0,3.0,4.0,4.0,5.0,3.0,3.0,3.0,19,,1.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154130,66.0,4.0,50  COSBURN AVE ,3.0,3.0,14,2.0,1965.0,2017.0
67,3.0,6,77,4.0,3.0,4.0,11/24/2017,3.0,3.0,3.0,3.0,,5.0,4.0,3.0,4.0,17,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154146,69.0,4.0,4  MILEPOST PL ,3.0,,15,3.0,1960.0,2017.0
68,3.0,16,246,4.0,3.0,4.0,10/31/2017,3.0,3.0,4.0,3.0,4.0,5.0,3.0,3.0,3.0,19,3.0,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154625,67.0,3.0,120  TORRESDALE AVE ,3.0,,06,3.0,1978.0,2017.0
69,4.0,12,117,3.0,3.0,3.0,11/13/2017,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,18,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154626,66.0,4.0,15  ROCKFORD RD ,3.0,,06,3.0,1965.0,2017.0
70,3.0,17,202,5.0,4.0,4.0,01/21/2019,3.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,5.0,20,4.0,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154630,80.0,3.0,5  FISHERVILLE RD ,5.0,4.0,06,4.0,1970.0,2017.0
71,4.0,15,172,4.0,3.0,4.0,12/08/2017,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,18,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154643,70.0,4.0,3  GOLDFINCH CRT ,4.0,,06,3.0,1964.0,2017.0
72,4.0,4,22,,3.0,3.0,01/16/2019,3.0,3.0,4.0,3.0,,5.0,4.0,4.0,3.0,17,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154659,74.0,5.0,3255  BATHURST ST ,4.0,4.0,08,4.0,1955.0,2017.0
73,3.0,7,47,3.0,3.0,3.0,01/22/2019,4.0,4.0,4.0,3.0,3.0,5.0,4.0,4.0,3.0,19,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154661,74.0,5.0,595  BROOKDALE AVE ,4.0,4.0,08,4.0,1970.0,2017.0
74,4.0,19,151,4.0,4.0,4.0,11/22/2017,4.0,3.0,3.0,4.0,3.0,5.0,3.0,3.0,3.0,18,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4155008,70.0,3.0,161  OAKWOOD AVE ,3.0,,09,4.0,1968.0,2017.0
75,,4,23,,4.0,3.0,02/26/2019,3.0,3.0,3.0,3.0,,4.0,5.0,4.0,3.0,14,,,PRIVATE,Evaluation needs to be conducted in 2 years,4155024,76.0,4.0,642  VAUGHAN RD ,4.0,,12,5.0,1957.0,2017.0
76,,4,38,,4.0,4.0,02/05/2019,4.0,4.0,4.0,5.0,,5.0,3.0,4.0,5.0,15,,3.0,PRIVATE,Evaluation needs to be conducted in 3 years,4155029,83.0,5.0,787  VAUGHAN RD ,4.0,,12,4.0,1977.0,2017.0
77,,4,45,,4.0,4.0,02/26/2019,5.0,3.0,5.0,3.0,,5.0,4.0,4.0,4.0,15,,3.0,PRIVATE,Evaluation needs to be conducted in 3 years,4155035,81.0,5.0,641  VAUGHAN RD ,4.0,,12,4.0,1955.0,2017.0
78,3.0,4,34,,4.0,4.0,02/19/2019,3.0,3.0,4.0,3.0,,5.0,3.0,5.0,4.0,17,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4155042,74.0,4.0,1500  EGLINTON AVE W,4.0,3.0,08,4.0,1954.0,2017.0
79,,3,18,,4.0,4.0,10/25/2017,4.0,4.0,4.0,4.0,,5.0,4.0,4.0,4.0,15,,4.0,PRIVATE,Evaluation needs to be conducted in 3 years,4155540,81.0,4.0,100  TWENTY FIFTH ST ,4.0,,03,4.0,1970.0,2017.0
80,,3,14,,4.0,4.0,02/13/2019,3.0,,,3.0,,5.0,3.0,4.0,3.0,12,,,PRIVATE,Evaluation needs to be conducted in 2 years,4155543,68.0,3.0,15  BIRCHLEA AVE ,3.0,,03,3.0,1950.0,2017.0
81,3.0,7,118,4.0,3.0,4.0,03/15/2019,4.0,4.0,4.0,4.0,3.0,5.0,4.0,3.0,4.0,19,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4155551,74.0,4.0,240  LAKE PROMENADE  ,3.0,3.0,03,4.0,1963.0,2017.0
82,3.0,3,12,,4.0,4.0,03/20/2019,4.0,4.0,4.0,5.0,,5.0,4.0,4.0,4.0,17,4.0,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4156075,78.0,4.0,115  GENERATION BLVD ,3.0,,25,4.0,1975.0,2017.0
83,4.0,16,221,4.0,3.0,4.0,10/30/2017,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,18,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4156086,69.0,4.0,55  OAKMOUNT RD ,2.0,,04,4.0,1965.0,2017.0
84,,4,13,,4.0,4.0,01/18/2019,4.0,4.0,4.0,4.0,,5.0,4.0,4.0,3.0,16,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4156098,78.0,5.0,10  BEXHILL CRT ,3.0,4.0,02,3.0,1952.0,2017.0
85,5.0,21,254,5.0,5.0,5.0,11/29/2017,5.0,3.0,4.0,4.0,3.0,5.0,4.0,5.0,3.0,18,,4.0,PRIVATE,Evaluation needs to be conducted in 3 years,4152730,87.0,4.0,5  BROCKLEY DR ,4.0,,21,5.0,1969.0,2017.0
86,4.0,11,170,4.0,5.0,5.0,11/16/2017,4.0,4.0,4.0,3.0,4.0,5.0,5.0,5.0,4.0,19,5.0,5.0,SOCIAL HOUSING,Evaluation needs to be conducted in 3 years,4152738,89.0,5.0,3010  LAWRENCE AVE E,4.0,,21,5.0,1989.0,2017.0
87,4.0,6,112,5.0,3.0,3.0,01/30/2019,3.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,4.0,19,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4152745,67.0,4.0,45  GREENBRAE CRCT ,3.0,3.0,24,3.0,1960.0,2017.0
88,3.0,13,149,3.0,4.0,3.0,10/17/2017,3.0,3.0,4.0,2.0,3.0,5.0,4.0,3.0,4.0,19,3.0,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4152749,66.0,4.0,945  MIDLAND AVE ,3.0,,21,3.0,1967.0,2017.0
89,4.0,4,48,5.0,5.0,4.0,10/26/2017,4.0,4.0,4.0,4.0,,4.0,5.0,4.0,1.0,17,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4152752,78.0,5.0,1330  DANFORTH RD ,2.0,,21,4.0,1967.0,2017.0
90,4.0,15,172,4.0,4.0,5.0,11/30/2017,3.0,3.0,4.0,2.0,3.0,4.0,2.0,2.0,4.0,18,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4152755,67.0,4.0,1360  DANFORTH RD ,3.0,,21,3.0,1963.0,2017.0
91,4.0,13,144,3.0,3.0,3.0,01/31/2019,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,19,,3.0,PRIVATE,Evaluation needs to be conducted in 1 year,4152760,63.0,4.0,1385  MIDLAND AVE ,2.0,4.0,21,3.0,1950.0,2017.0
92,,3,32,,5.0,3.0,12/13/2018,3.0,4.0,4.0,4.0,,5.0,4.0,3.0,5.0,15,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4153150,77.0,5.0,677  COLLEGE ST ,4.0,,11,3.0,1912.0,2017.0
93,2.0,4,11,,3.0,3.0,03/01/2019,3.0,4.0,4.0,4.0,,2.0,3.0,2.0,3.0,16,,4.0,PRIVATE,Evaluation needs to be conducted in 1 year,4153161,63.0,4.0,1121  BLOOR ST W,2.0,,09,4.0,1926.0,
